"Name","Description","Homepage","Social networks accounts","E-mail","Contact page","Organisation Type","Physical address","Legal entity","Year of foundation","Language(s) of the platform","Phone","Keywords","Type of activity","The most important type of collaboration","Type of common resource resulting","User generated content license","Software platform license","Owner","Infrastructure provider","Other information","Scope"
"Flok Society","Free/Libre Open Knowledge Society, designing a world for the commons","http://floksociety.org","https://twitter.com/FLOKSociety, https://www.facebook.com/FLOKSociety","","http://floksociety.org/contacto/","","United Kingdom","not for profit organization","2012-01-01 00:00:00","English","","","FLOSS communities, Community networks, Free software social networks and platforms, Collaborative research, Open education, P2P economy, Open data commons","Collage","Resource, Service","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Creative commons: BY-SA 3.0","","","",""
"HELibTech","The aim of HELibTech is to provide a starting point for anyone interested in library technology in Higher Education. The focus is UK but most of the issues will be relevant elsewhere. Free and open community resource","http://helibtech.com","https://twitter.com/helibtech","ken@kenchadconsulting.com ","","","United Kingdom","for profit organization","2010-01-01 00:00:00","English","","","Open education","Collage","Resource, Service","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Creative commons: BY-SA 3.0","","","",""
"Thingspeak","ThingSpeak is an open source “Internet of Things” application and API to store and retrieve data from things using HTTP over the Internet or via a Local Area Network. With ThingSpeak, you can create sensor logging applications, location tracking applications, and a social network of things with status updates.","https://thingspeak.com","http://www.twitter.com/thingspeak, http://feeds.feedburner.com/internetofthings, https://github.com/iobridge/ThingSpeak","support@thingspeak.com","","","United Kingdom","for profit organization","2010-01-01 00:00:00","English","","","Internet of things","Collage","Resource, Design","Other","Open Source License","","","",""
"Open source robotics Foundation","Open Source Robotics Foundation, Inc. (OSRF) is an independent non-profit organization founded by members of the global robotics community. The mission of OSRF is to support the development, distribution, and adoption of open source software for use in robotics research, education, and product development.","http://www.osrfoundation.org","https://plus.google.com/109176055042429289073/posts, https://twitter.com/OSRFoundation","info@osrfoundation.org","http://osrfoundation.org/involvement.html","","United Kingdom","not for profit organization","2013-01-01 00:00:00","English","+1.650.450.9681 ","","Open technology, Open science","Physical resource","Resource, Service","Creative Commons: Attribution (CC BY)","Other licenses","","","Press: tsmith@elementpr.com ",""
"Wikimapia","Wikimapia is a multilingual open-content collaborative map, where anyone can create place tags and share their knowledge. The goal is to describe the whole world by compiling as much useful information about all geographical objects as possible, organize it and provide free access to our data for public domain.","http://wikimapia.org","https://twitter.com/search?q=wikimapia&src=typd, https://www.facebook.com/pages/WikiMapia/109363129082838#","contact@wikimapia.org","","","United Kingdom","for profit organization","2006-01-01 00:00:00","English","","","Collaborative mapping","Collage","Resource, Service, Methodology","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Creative commons: BY-SA 3.0","","Google maps","",""
"Blender","Blender is a free and open-source 3D computer graphics software product used for creating animated films, visual effects, art, 3D printed models, interactive 3D applications and video games. Blender's features include 3D modeling, UV unwrapping, texturing, rigging and skinning, fluid and smoke simulation, particle simulation, soft body simulation, sculpting, animating, match moving, camera tracking, rendering, video editing and compositing. It also features a built-in game engine.","http://www.blender.org/","https://twitter.com/blender3d, https://www.facebook.com/blender.3d","foundation@blender.org","","","United Kingdom","not for profit organization","1998-01-01 00:00:00","English","","","Open design","Exchange","Service, Design","Other","GNU General Public License V2","","","",""
"Sourcefabric","Company that provide news organisations with the software, expertise and support to produce it online, in print and on air. Sourcefabric is established as a Czech non-profit organisation with  its headquarters in Prague, branches in Berlin and Toronto, and  representatives in Minsk, Guatemala, Warsaw, Belgrade and Cluj. Sourcefabric’s products are built by news experts and a highly  skilled team of over 30 technical officers, developers, system administrators and quality assurance engineers. Newscoop (open content management for newspapers & magazines), Airtime (open source radio automation) and Booktype (open source publishing platform for print and digital books) are currently on the market (each is downloaded over 10,000 times a year).","http://www.sourcefabric.org","http://twitter.com/sourcefabric, http://www.facebook.com/Sourcefabric, http://vimeo.com/sourcefabric, http://www.flickr.com/photos/sourcefabric, https://identi.ca/sourcefabric","contact@sourcefabric.org","","","United Kingdom","not for profit organization","2010-01-01 00:00:00","English","","","Others","Other","Others","Other","Creative commons: BY-SA 3.0","","","",""
"Booktype","Booktype is a free and open source oftware for authoring, collaborating, editing, and publishing books to PDF, ePub, .mobi, ODT and HTML formats. It was launched by Sourcefabric in February 2012 when Booktype evolved from the Booki software, which powers FLOSS Manuals.","http://www.sourcefabric.org/en/booktype/","https://www.facebook.com/Booktype, https://twitter.com/Sourcefabric, http://vimeo.com/sourcefabric, http://www.flickr.com/photos/sourcefabric, http://www.youtube.com/user/Sourcefabric, https://github.com/sourcefabric","contact@sourcefabric.org","http://www.sourcefabric.org/en/about/contactus","","United Kingdom","not for profit organization","2012-01-01 00:00:00","English","+420 222362540","","Collaborative writing","Collage","Resource, Methodology","Creative Commons: Attribution (CC BY)","AGPL license","","","Centre for Social Innovation
720 Bathurst St. Suite 203
Toronto, Ontario
M5S 2R4
Canada",""
"Flossmanuals","The FLOSS Manuals (FM) is a non-profit foundation founded in 2006 and based in the Netherlands. The foundation is focused on the creation of quality documentation about how to use free software. Its web site is a wiki (previously using the TWiki software, now developed as an autonomous platform with Booki) focused on the collaborative authoring of manuals. The documentation is licensed under the GPL. Although initially the manuals were covered by the GFDL, the license was changed due to concerns about the limited and non-free nature of the GFDL","http://www.flossmanuals.net","http://www.flossmanuals.org/rss.xml, https://twitter.com/flossmanuals, https://www.facebook.com/FLOSSManualsSuomi?directed_target_id=0&filter=2","","http://lists.flossmanuals.net/listinfo.cgi/discuss-flossmanuals.net","","United Kingdom","not for profit organization","2006-01-01 00:00:00","English","","","FLOSS communities, Collaborative writing, Others","Collage","Resource, Methodology","GNU General Public License","GNU General Public License V2","","","",""
"Openp2pdesign.org","Open P2P Design was developed at the intersection of many different disciplines, processes and tools, in order to make it possible for a community to co-design a collaborative activity in which to participate together. The methodology takes concepts, processes and tools from Activity Theory (Psychology), Service Design, Social Network Analysis, Action Planning (Urbanism) in order to design an activity in a collaborative way: with Open P2P Design we can analyze, design or re-design an existing or a new activity taking into account both the community and the business that enable it.","http://www.openp2pdesign.org","http://www.facebook.com/openp2pdesign.org, https://twitter.com/search?q=%40openp2pdesign%20&src=typd, https://github.com/openp2pdesign","info@openp2pdesign.org","","","","","2005-01-01 00:00:00","English","+1 375950118 ","","Open design","Exchange","Design","Creative Commons: Attribution (CC BY)","Open Source License","","","",""
"RepRap Project","The RepRap project is an initiative to develop a 3D printer that can print most of its own components. RepRap (short for replicating rapid prototyper) uses a variant of fused deposition modeling, an additive manufacturing technique. The project calls it Fused Filament Fabrication (FFF) to avoid trademark issues around the ""fused deposition modeling"" term.","http://reprap.org/wiki/RepRap","https://twitter.com/RepRapCentral, https://www.facebook.com/pages/RepRap-Project/111911162158686","support@reprappro.com","","","United Kingdom","for profit organization","2013-01-01 00:00:00","English","","","Open technology","Physical resource","Design, Others","GNU Free Documentation License","Open Source License","","","",""
"Cooperativa Integral Catalana","An Integral Cooperative is a tool to create a grassroots counterpower departing  from self-management, self-organization and direct democracy. Cooperativa Integral Catalana is a catalan territorial based network of social and economic Cooperatives. ","http://cooperativa.cat/es/","https://twitter.com/CoopIntegral, https://www.facebook.com/CooperativaIntegralCatalana"," info@cooperativaintegral.cat","","","United Kingdom","not for profit organization","2010-01-01 00:00:00","Catalan","+34  935 535 611","","FLOSS communities, Open design, P2P economy, Hacklabs / Collaborative spaces","Space","Resource, Methodology","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Other licenses","Community based","","",""
"Skype","Skype is a freemium voice-over-IP service and instant messaging client, developed by the Microsoft Skype Division. Is a hybrid peer-to-peer and client–server system. It makes use of background processing on computers running Skype software, and this is reflected in Skype's original proposed name of Sky Peer-to-Peer.","http://www.skype.com","https://twitter.com/Skype, https://www.facebook.com/Skype","contactus@skype.net","","","United Kingdom","for profit organization","2003-01-01 00:00:00","Danish, English, French, Italian, Japanese, Portuguese, Spanish, Other","","","Community networks","Album","Service","Other","Open Source License","","","",""
"SourceForge","SourceForge is a web-based source code repository. It acts as a centralized location for software developers to control and manage free and open source software development. It was the first to offer this service for free to open source projects. The website runs a version of SourceForge Enterprise Edition, forked from the last open-source version available. As of May 2013, the SourceForge repository hosts more than 300,000 projects and has more than 3 million registered users, although not all are active. The domain sourceforge.net attracted at least 33 million visitors by August 2009 according to a Compete.com survey.","http://sourceforge.net","https://twitter.com/sourceforge, https://www.facebook.com/sourceforgenet","sfnet_ops@slashdotmedia.com","","","United Kingdom","for profit organization","1999-01-01 00:00:00","English","","","FLOSS communities, Collaborative archive","Album","Resource","Copyright","Open Source License","Dice Holdings, Inc.","","",""
"Github","GitHub is a web-based hosting service for software development projects that use the Git revision control system. GitHub offers both paid plans for private repositories, and free accounts for open source projects. As of May 2011, GitHub was the most popular code repository site for open source projects.","https://github.com","https://twitter.com/github, https://www.facebook.com/GitHub","support@github.com","","","San Francisco, CAUnited States","for profit organization","2008-01-01 00:00:00","English","","","FLOSS communities, Collaborative archive","Album","Service","GNU General Public License","Private software","GitHub, Inc","","",""
"Rubyforge","RubyForge is a collaborative software development management system dedicated to projects related to the Ruby programming language. It was started in 2003 by Ruby Central in an effort to help the Ruby community by providing a home for open source Ruby projects. As of November 2009, it hosts over 8,000 projects and has over 41,000 registered users","http://rubyforge.org","https://twitter.com/rubyforge, https://www.facebook.com/pages/RubyForge/109231272440614#","","http://rubyforge.org/forum/forum.php?forum_id=2","","United Kingdom","not for profit organization","2003-01-01 00:00:00","English","","","FLOSS communities, Collaborative archive","Collage","Resource, Methodology","Other","Open Source License","","","",""
"Mozilla Foundation","The Mozilla Foundation is a non-profit organization that exists to support and lead the open source Mozilla project. Founded in July 2003, the organization sets the policies that govern development, operates key infrastructure and controls Mozilla trademarks and copyrights. It owns a taxable subsidiary: the Mozilla Corporation, which employs many Mozilla developers and coordinates releases of the Mozilla Firefox web browser and Mozilla Thunderbird email client. The subsidiary is 100% owned by the parent, and therefore follows the same non-profit principles. The Mozilla Foundation was founded by the Netscape-affiliated Mozilla Organization, and is funded almost exclusively by Google Inc. The organization is currently based in the Silicon Valley city of Mountain View, California, USA.","http://www.mozilla.org/en-US/foundation","https://twitter.com/mozilla, https://www.facebook.com/mozilla","sclayton@mozilla.com ","","","United Kingdom","not for profit organization","1998-01-01 00:00:00","English","","","FLOSS communities","Collage","Service, Brand","Other","Open Source License","","","",""
"Linux","Is a Unix-like and POSIX-compliant computer operating system assembled under the model of free and open source software development and distribution. The defining component of Linux is the Linux kernel, an operating system kernel first released on 5 October 1991 by Linus Torvalds.Because it considers Linux to be a variant of the GNU operating system, initiated in 1983 by Richard Stallman, the Free Software Foundation prefers the name GNU/Linux when referring to the operating system as a whole; see GNU/Linux naming controversy for more details.","http://www.linux.com","http://www.facebook.com/pages/The-Linux-Foundation/41911143546, http://twitter.com/linuxfoundation, http://www.linux.com/news/rss-feeds","pr@linuxfoundation.org","","","United Kingdom","not for profit organization","1984-01-01 00:00:00","English","+1 4157239709","","FLOSS communities","Collage","Resource, Methodology","Copyright","GNU General Public License V2","Linux Foundation","","",""
"Ubuntu","Ubuntu is a Debian-based Linux operating system, with Unity as its default desktop environment (formerly GNOME). It is based on free software and named after the Southern African philosophy of ubuntu (literally, ""human-ness""), which often is translated as ""humanity  towards others"" or ""the belief in a universal bond of sharing that connects all humanity"".","http://www.ubuntu.com","https://twitter.com/ubuntu, https://www.facebook.com/ubuntulinux?ref=br_tf"," pr@canonical.com","http://www.ubuntu.com/about/contact-us","","United Kingdom","not for profit organization","2004-01-01 00:00:00","English, Spanish, Other","+44 2076302400","","Others","Other","Resource, Service","Creative Commons: Attribution-ShareAlike (CC BY-SA)","GNU General Public License V2","","Linux","",""
"Netduino","Netduino is an open-source electronics prototyping platform based on the .NET Micro Framework. It uses a 32-bit ARM-microcontroller. The Netduino boards (except the Mini and Go) are designed to be pin-compatible with most Arduino shields.[1]","http://netduino.com","https://www.facebook.com/pages/Netduino/255300574501605, https://twitter.com/netduino","webmaster@netduino.com ","","","","","2011-01-01 00:00:00","English","","","Open hardware, Open technology, Open design","Physical resource","Resource, Design","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Open Source License","Secret Labs LLC","","http://forums.netduino.com/",""
"Nerdkits","A Nerdkit is a collection of components, some software, helpful documentation and an active user community. A NerdKits microcontroller kit is appropriate for software hackers looking to branch out into electronics, and has educational material to allow even middle-schoolers and high-schoolers (ages 12+) looking for a fun challenge to learn by doing, especially with the help of a techie parent! A microcontroller is a small computer on a single chip, including processing, memory, and inputs and outputs","http://www.nerdkits.com","https://www.facebook.com/NerdKits, https://twitter.com/NerdKits","support@nerdkits.com","","Business","United Kingdom","for profit organization","2007-01-01 00:00:00","English","","","Open hardware, Open technology","Physical resource","Resource, Design, Methodology","Copyright","Open Source License","NerdKits, L.L.C.","","",""
"NetFPGA","The NetFPGA is an open source hardware and software platform designed for research and teaching. Currently there are two platforms: NetFPGA-1G (1G) and the NetFPGA-10G (10G). These platforms allow researchers, and students to build prototypes of high-speed, hardware-accelerated networking systems. As of 2011 the NetFPGA platforms have been used in over 66 academic papers. ","http://netfpga.org","https://www.facebook.com/pages/NetFPGA/29922917839","","http://forums.netfpga.org/forums/","","","","2007-01-01 00:00:00","English","","","Open technology","Physical resource","Resource, Design, Methodology","Copyright","GNU Lesser General Public License","NetFPGA","","",""
"Safecast","Arduino boards can be purchased pre-assembled or as do-it-yourself kits. Hardware design information is available for those who would like to assemble an Arduino by hand. It was estimated in mid-2011 that over 300,000 official Arduinos had been commercially produced","http://blog.safecast.org","https://www.facebook.com/safecast, https://plus.google.com/u/0/102414472183474083169/posts, https://twitter.com/safecast, http://www.flickr.com/groups/safecast/, http://vimeo.com/channels/safecast, http://www.slideshare.net/safecast","info@safecast.org","http://blog.safecast.org/contact/","Grass Roots Organization Or Community Network","United Kingdom","not for profit organization","2011-01-01 00:00:00","English","","","Internet of things, Sensor networks, Open technology","Collage","Resource, Design","Creative Commons: Attribution-NonCommercial (CC-BY-NC)","Open Source License","","","",""
"Libelium","Internet of things platform provider, developing open source urban sensors and other sensor networks in the scope of Smart Cities. ","http://www.libelium.com","https://twitter.com/libelium, http://www.linkedin.com/company/1062497, http://www.youtube.com/user/libelium?sub_confirmation=1, http://www.libelium.com/feed/, http://libelium.github.io/waspmoteapi/","info@libelium.com","http://www.libelium.com/contact","Business","United Kingdom","for profit organization","","English, Spanish","+34 976 54 74 92 ","","Internet of things, Sensor networks, Open hardware, Open technology, Collaborative research, Open data commons","Physical resource","Resource, Design","Copyright","Open Source License","Libelium Comunicaciones Distribuidas S.L","","",""
"Smartcitizen.me","Smartcitizen.me is a platform to generate participatory processes of the people in the cities. Connecting data, people and knowledge, the objective of the platform is to serve as a node for building productive open indicators and distributed tools, and thereafter the collective construction of the city for its own inhabitants.","http://www.smartcitizen.me","https://twitter.com/SmartcitizensCC, https://www.facebook.com/smartcitizenBCN, https://github.com/fablabbcn/SmartCitizen.me","","http://www.smartcitizen.me/pages/contact","Business","United Kingdom","for profit organization","2012-01-01 00:00:00","English","","","Internet of things, Sensor networks","Physical resource","Resource, Service","Other","No license","","","",""
"Wikipedia","Wikipedia is a collaboratively edited, multilingual, free Internet encyclopedia that is supported by the non-profit Wikimedia Foundation. Volunteers worldwide collaboratively write Wikipedia's 30 million articles in 287 languages, including over 4.4 million in the English Wikipedia. Anyone who can access the site can edit almost any of its articles, which on the Internet comprise the largest and most popular general reference work, ranking sixth globally among all websites on Alexa with an estimated 365 million readers.","http://www.wikipedia.org","https://www.facebook.com/wikipedia, https://twitter.com/Wikipedia","info-en@wikimedia.org","","Grass Roots Organization Or Community Network","San Francisco, CAUnited States","not for profit organization","2001-01-01 00:00:00","Arabic, Basque, Bulgarian, Catalan, Chinese, Croation, Czech, Dutch, English, Finnish, French, German, Italian, Japanese, Lithuanian, Polish, Portuguese, Russian, Slovak, Slovenian, Spanish, Swedish, Turkish","","","Collaborative writing","Collage","Resource, Service, Design, Brand","Creative Commons: Attribution-ShareAlike (CC BY-SA)","GNU General Public License V2","Wikimedia Foundation, Inc","Wikimedia ","Wikipedia is available in 287 languages but in 'Language(s) of the platform' we only have added those chapters that have more than 100.000 articles. ",""
"Localwiki","LocalWiki is a grassroots effort to collect, share and open the world’s local knowledge.We want anyone, anywhere to be able to learn about where they live — their local government, the history of their neighborhoods, streets, social movements, noteworthy local figures, social services, schools – every facet of life in their community. And we believe that this vast collection of local knowledge should be created by the people who know it best - individual community members working together. There are already over 70 independent LocalWiki projects in 9  countries and in 7 languages.  Collectively, LocalWiki projects reach  over 400,000 people each month.  We are a 501(c)3 non-profit  organization based in San Francisco, California.","http://localwiki.org","http://twitter.com/localwiki, https://www.facebook.com/localwiki","contact@localwiki.org","","Grass Roots Organization Or Community Network","United Kingdom","not for profit organization","2004-01-01 00:00:00","English","1 (650) 741-4692","","Collaborative video, audio, images, Collaborative archive, Collaborative mapping","Album","Resource","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Licencia Procomún Inalámbrica","","","",""
"Twine","Twine is an open-source tool for telling interactive, nonlinear stories.","http://twinery.org","https://twitter.com/twinethreads","","http://twinery.org/forum/","Business","","for profit organization","2009-01-01 00:00:00","English","","","Collaborative writing","Album","Resource, Service","Other","Open Source License","","","",""
"Wikitravel","Wikitravel is a project to create a free, complete, up-to-date and reliable world-wide travel guide. It is built in collaboration by Wikitravellers from around the globe.","http://wikitravel.org","https://twitter.com/wikitravel, https://www.facebook.com/Wikitravel.org","admin@wikitravel.org","","Grass Roots Organization Or Community Network","United Kingdom","not for profit organization","2003-01-01 00:00:00","English","","","Collaborative writing","Collage","Resource, Service, Design","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Creative commons: BY-SA 3.0","","Mediawiki","",""
"Arduino","Arduino is a single-board microcontroller, intended to make the application of interactive objects or environments more accessible. The hardware consists of an open-source hardware board designed around an 8-bit Atmel AVR microcontroller, or a 32-bit Atmel ARM. Pre-programmed into the on-board microcontroller chip is a boot loader that allows uploading programs into the microcontroller memory without needing a chip (device) programmer.","http://www.arduino.cc","http://www.flickr.com/photos/tags/arduino/, https://twitter.com/arduino, https://www.facebook.com/official.arduino","press@arduino.cc","","Business","United Kingdom","for profit organization","2005-01-01 00:00:00","English","","","Open hardware","Collage","Resource","Creative Commons: Attribution-ShareAlike (CC BY-SA)","GNU Lesser General Public License","","","",""
"Freenet","Freenet is free software which lets you anonymously share files, browse and publish ""freesites"" (web sites accessible only through Freenet) and chat on forums, without fear of censorship. Freenet is decentralised to make it less vulnerable to attack, and if used in ""darknet"" mode, where users only connect to their friends, is very difficult to detect.","https://freenetproject.org","https://twitter.com/FreenetFiles, https://github.com/freenet/","ian@freenetproject.org ","https://freenetproject.org/irc.html","Grass Roots Organization Or Community Network","United Kingdom","not for profit organization","2000-01-01 00:00:00","English","","","FLOSS communities, P2P file sharing","Collage","Resource","GNU Free Documentation License","Open Source License","","","",""
"Gnutella2","Gnutella2, often referred to as G2, is a peer-to-peer protocol developed mainly by Michael Stokes and released in 2002. While inspired by the gnutella protocol, G2 shares little of its design with the exception of its connection handshake and download mechanics.[1] It adopts an extensible binary packet format and an entirely new search algorithm.","http://g2.doxu.org","","","http://groups.yahoo.com/neo/groups/the_gdf/info","Grass Roots Organization Or Community Network","United Kingdom","not for profit organization","2002-01-01 00:00:00","English","","","P2P file sharing, Collaborative writing","Collage","Resource, Internet protocol","GNU Free Documentation License","GNU General Public License V2","","Mediawiki","",""
"Athens Wireless Metropolitan Network","Athens Wireless Metropolitan Network is a grassroots wireless community, taking advantage of new, state of the art wireless technologies, to connect people and services. The network comprises 1120 backbone nodes (as of Aug, 2010) and more than 2900 client computers connect to it.","http://awmn.net","https://www.facebook.com/pages/Athens-Wireless-Metropolitan-Network-wwwawmnnet/174561842568136","info@awmn.net","http://awmn.net/login.php?do=login","Grass Roots Organization Or Community Network","United Kingdom","not for profit organization","2002-01-01 00:00:00","English, Greek","","","Community networks","Other","Resource","Other","Creative commons: BY-SA 3.0","","","",""
"Funkfeuer","A free, experimental network in Vienna, Graz, in parts of Weinviertel (NÖ) and Bad Ischl. It is build and maintained by computer enthusiasts. This project is non commercial. Is open for everybody interested and willing to contribute. One of the  goals is to built a unregulated network which has the potential to bridge the digital valley between the social layers and deliver the infrastructure and the knowledge for it.","http://www.funkfeuer.at","https://www.facebook.com/pages/funkfeuerat/121045504573012","","https://lists.funkfeuer.at/mailman/listinfo","Grass Roots Organization Or Community Network","United Kingdom","not for profit organization","","Dutch, English","+43 69911994786","","Community networks","Exchange","Service","Other","Other licenses","","","",""
"Seattle Community Network (SCN)","Seattle Community Network is a free public-access computer network. We have been privileged to partner with the Seattle Public Library from our beginnings in 1994. SCN was originally a project of the Seattle Chapter of Computer Professionals for Social Responsibility (CPSR). In 1995 the Seattle Community Network Association (SCNA) was incorporated as a separate non-profit organization. SCN is an all-volunteer organization. Our primary source of funds are the contributions made by our donors. SCNA is a registered 501(c)(3) non-profit organization. If you'd like to volunteer with SCN check out our Volunteers page. ","http://www.scn.org","","governance@scn.org","","Grass Roots Organization Or Community Network","United Kingdom","not for profit organization","1994-01-01 00:00:00","English","","","Community networks","Physical resource","Service","Other","Open Source License","","","scna@scn.org",""
"BitTorrent (protocol)","BitTorrent is a protocol supporting the practice of peer-to-peer file sharing that is used to distribute large amounts of data over the Internet. BitTorrent is one of the most common protocols for transferring large files, and peer-to-peer networks have been estimated to collectively account for approximately 43% to 70% of all Internet traffic (depending on geographical location) as of February 2009

","http://www.bittorrent.com","https://twitter.com/bittorrent","","http://www.bittorrent.com/intl/es/community","Business","United Kingdom","for profit organization","2008-01-01 00:00:00","English","","","P2P file sharing, Internet protocol","Other","Service, Internet protocol","Other","Other licenses","","","Other data of contact

Email: staff@mininova.org
Forum: http://forum.mininova.org/
Phone: +31 877 843 530",""
"Emule","As of today, eMule is one of the biggest and most reliable peer-to-peer file sharing clients around the world. Thanks to it's open source policy many developers are able to contribute to the project, making the network more efficient with each release.  At dawn of  May 13th 2002 a guy called Merkur was dissatisfied with the original eDonkey2000 client and was convinced he could do better. So he did. He gathered other developers around him, and eMule Project was born. Their aim was to put the client back on track where eDonkey had been famous before, adding tons of new features and a nice GUI. ","http://www.emule-project.net/home/perl/general.cgi?l=1","https://twitter.com/emule, https://www.facebook.com/pages/eMule/109788005706929","","http://www.emule-project.net/home/perl/general.cgi?l=1&rm=contact","","","","2002-01-01 00:00:00","English","","","P2P file sharing","Exchange","Service","Other","","","","",""
"Overnet","Overnet was a decentralized peer-to-peer computer network, usually used for sharing large files (e.g., movies and CD images). Overnet implements the Kademlia algorithm. In late 2006, Overnet and all Overnet-owned resources were taken down as a result of legal actions from the RIAA and others. However, since the core of Overnet is decentralized, Overnet clients are still able to function with limited functionality.","http://en.wikipedia.org/wiki/Overnet","","","","","","","2000-01-01 00:00:00","English","","","P2P file sharing","Exchange","Design, Internet protocol","Other","Other licenses","","","",""
"Vuze ","The Vuze Bittorrent Client is an end-to-end software application.","http://www.vuze.com","https://www.facebook.com/VuzeBittorrentClient, https://twitter.com/Vuze, https://plus.google.com/102216466254692772738/posts","","http://forum.vuze.com/","Business","United Kingdom","for profit organization","2003-01-01 00:00:00","French, Italian, Japanese, Russian, Spanish","","","Others","Other","Others","Copyright","Open Source License","Azureus Software, Inc.","","",""
"The Pirate Bay","The Pirate Bay (commonly abbreviated TPB) is a website that provides torrent files and magnet links to facilitate peer-to-peer file sharing using the BitTorrent protocol. It was founded in Sweden in 2003.","http://thepiratebay.se","http://twitter.com/tpbdotorg, https://www.facebook.com/ThePirateBayWarMachine","","http://thepiratebay.se/contact","Grass Roots Organization Or Community Network","United Kingdom","not for profit organization","2003-01-01 00:00:00","English","","","P2P file sharing","Exchange","Service","Other","Other licenses","","","",""
"Bitcomet ","The BitComet program is a multi-threaded multi-protocol hybrid download manager and BitTorrent Peer-to-peer (P2P) file-sharing application. It supports simultaneous download tasks. To complete a particular download, it can draw parts of files from many sources across different P2P and client–server protocols.","http://www.bitcomet.com","https://www.facebook.com/pages/bitcomet/28683797156, https://twitter.com/SF2_BitComet","support@bitcomet.com ","http://www.cometforums.com","","","","2003-01-01 00:00:00","English","","","P2P file sharing","Collage","Internet protocol","Other","Adware","","","",""
"Morpheus","Morpheus was a file sharing and searching peer-to-peer client for Microsoft Windows, developed and distributed by the company StreamCast, that originally used the Opennap protocol, but later supported many different peer-to-peer protocols.","http://www.gnutellaforums.com/morpheus-windows","","","http://www.gnutellaforums.com","","United Kingdom","for profit organization","2007-01-01 00:00:00","English","","","P2P file sharing","Exchange","Service","Other","Other licenses","","","This service is extinct, the reference about it is on Wikipedia and forums like Gnutella. We don't find social media talk about it. ",""
"Open Street Maps","OpenStreetMap (OSM) is a collaborative project to create a free editable map of the world. Two major driving forces behind the establishment and growth of OSM have been restrictions on use or availability of map information across much of the world and the advent of inexpensive portable satellite navigation devices.","http://www.openstreetmap.org","https://twitter.com/openstreetmap, https://www.facebook.com/OpenStreetMap","","","Grass Roots Organization Or Community Network","United Kingdom","not for profit organization","2004-01-01 00:00:00","English","","","Collaborative mapping","Collage","Resource, Design","Creative Commons: Attribution-ShareAlike (CC BY-SA)","Open Source License","Community based (OpenStreetMap contributors)","","The data: Open Database License (ODbL). The maps: CC-BY-SA license",""
"Writing Commons ","Writing Commons  is a peer-reviewed open education resource (OER) for college-level writers. Founded in 2008 by Joseph M. Moxley, a professor of English and the director of the first-year writing program at the University of South Florida, Writing Commons was developed from a highly regarded text into one of the most heavily used open textbooks on the web. Following a crowd-sourcing process, Writing Commons now offers an interactive and comprehensive introduction to college-level writing. In 2012, Writing Commons was viewed by over 145,000 unique users for a total of 167,000 users. Writing Commons was developed from College Writing Online (Longman/Pearson, 2003)[3] a first-year composition textbook written by Joseph Moxley. Awarded the Distinguished Book Award by Computers and Composition: an International Journal in 2004,[4] College Writing Online has since been republished as Writing Commons in an open textbook format. Writing Commons accepts submissions through a strenuous peer-review process. The editorial board consists of distinguished educators and academics from across the globe. ","http://writingcommons.org","http://www.facebook.com//WritingCommons, https://twitter.com/WritingCommons, http://www.linkedin.com/company/writing-commons","","http://writingcommons.org/about/contact","Academia And Research","United Kingdom","for profit organization","2008-01-01 00:00:00","English","","","Collaborative writing, Collaborative research, Open education","Collage","Resource, Service","Creative Commons: Attribution-NoDerivs (CC BY-ND)","Open Source License","","","",""
"Kuro5hin","A collaborative discussion website. Articles are created and submitted by Kuro5hin's users and submitted to a queue for evaluation. Site members can vote for or against publishing an article and, once the article has reached a certain number of votes, it is then published to the site or deleted from the queue.The site has been described as ""a free-for-all of news and opinion written by readers"".","http://www.kuro5hin.org","https://www.facebook.com/pages/Kuro5hin/115134758500487#, http://www.kuro5hin.org/special/irc","help@kuro5hin.org ","","Grass Roots Organization Or Community Network","United Kingdom","for profit organization","1999-01-01 00:00:00","English","","","Collaborative filtering, Collaborative writing","Collage","Resource, Service","Other","Open Source License","","Scoop www.scoopdev.org","",""
"Crowd Voice","CrowdVoice tracks voices of protest by curating and contextualizing valuable data, such as eyewitness videos, photos, and reports as a means to facilitate awareness regarding current social justice movements worldwide.","http://crowdvoice.org/","https://twitter.com/CrowdVoice, https://www.facebook.com/crowdvoice","crowdvoice@mideastyouth.com","","","","","2010-01-01 00:00:00","English","","","Others","Other","Others","Other","","","","",""
"Slashdot","Slashdot is a technology-related news website owned by the US-based company Dice Holdings, Inc. The site, which bills itself as ""News for Nerds. Stuff that Matters"", features user-submitted and evaluated news stories about science and technology related topics.","http://slashdot.org","https://twitter.com/slashdot, https://www.facebook.com/slashdot, https://plus.google.com/+slashdot/posts, http://rss.slashdot.org/Slashdot/slashdot","patrocinadores@barrapunto.com ","","","United Kingdom","for profit organization","1997-01-01 00:00:00","English","","","Collaborative filtering","Collage","Service","Copyright","Other licenses","Dice Holdings, Inc","","",""
